date,time_in,time_out,break_start,break_end,overtime_in,overtime_out,employee_id,user_id
2026-04-01,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-02,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-03,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-06,08:17,17:02,12:00,13:00,0:00,0:00,1,1
2026-04-07,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-08,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-09,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-10,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-13,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-14,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-15,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-16,08:00,17:00,12:00,13:00,17:30,19:00,1,1
2026-04-17,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-20,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-21,00:00,00:00,00:00,00:00,0:00,0:00,1,1
2026-04-22,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-23,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-24,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-27,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-28,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-29,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-30,08:00,17:00,12:00,13:00,0:00,0:00,1,1
2026-04-01,08:00,17:00,12:00,13:00,0:00,0:00,2,1
2026-04-02,08:00,17:00,12:00,13:00,0:00,0:00,2,1
2026-04-01,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-02,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-03,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-06,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-07,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-08,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-09,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-10,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-13,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-14,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-15,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-16,0:00,0:00,0:00,0:00,0:00,0:00,5,1
2026-04-17,0:00,0:00,0:00,0:00,0:00,0:00,5,1
2026-04-20,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-21,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-22,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-23,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-24,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-27,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-28,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-29,08:00,17:00,12:00,13:00,0:00,0:00,5,1
2026-04-30,08:00,17:00,12:00,13:00,0:00,0:00,5,1
